#fields:Hanzi	Pinyin	English	Notes	Tags
菜单	càidān	menu; (computing) a menu	菜 cài (dish) + 单 dān (list; slip). The list of dishes a restaurant offers, and by extension the drop-down 菜单 of a computer program. 看菜单 "to look at the menu."	food culinary daily-life characters
菜鸟	càiniǎo	(slang) novice; newbie; noob	菜 cài (here: weak, lousy) + 鸟 niǎo (bird). A fledgling, hence a beginner who is still bad at something, especially in gaming and the workplace. Self-deprecating or teasing: 我是个菜鸟 "I'm a total newbie."	food culinary daily-life characters
菜系	càixì	cuisine school; culinary lineage	Cuisine system , the term for a recognized regional cooking tradition. The 八大菜系 (eight great cuisine systems) are the canonical eight, though culinary scholars recognize anywhere from four to dozens of regional traditions.	food culture geography history river coast trade
参观	cānguān	to visit; to tour (a place)	参 cān (to take part) + 观 guān (to view). To visit a place in order to see it: a museum, factory, school, or exhibition. Reserved for touring sites, not for visiting people, where 看望 kànwàng or 拜访 bàifǎng is used instead.	perception philosophy meaning characters
餐厅	cāntīng	restaurant; dining hall		food culinary daily-life characters
蚕丝	cánsī	Silk thread , literally "silkworm thread	Silk thread , literally "silkworm thread." The raw fiber before weaving. 蚕 is the silkworm; 丝 is the thread.	silk trade technology
苍白	cāngbái	pallid, ashen, sickly white		color clarity symbolism daily-life culture
操守	cāoshǒu	moral integrity		confucianism daoism ethics virtue philosophy
曹操	cáo cāo	Cao Cao — the archetype of cunning ambition	The warlord of the north, in the novel the great villain: a brilliant general, administrator, and poet, but ruthless and treacherous, the man who declares he would rather betray the world than let the world betray him.	opera theatre performance culture arts music literature novels classics classical history strategy dynasty han statecraft
曹洞	Cáodòng	Caodong school (Soto in Japan)		chan zen meditation
草地	cǎodì	lawn; grassland; a grassy patch	草 cǎo (grass) + 地 dì (ground). Any stretch of ground covered in grass, from a park lawn to an open meadow. 在草地上 "on the grass."	nature daily-life characters
草稿	cǎogǎo	rough draft; manuscript draft	草 cǎo (rough) + 稿 gǎo (manuscript). The first, unpolished version of a piece of writing or a plan. 打草稿 "to make a draft," to sketch something out before committing.	nature daily-life characters
草率	cǎoshuài	careless; hasty; rash	草 cǎo (rough; hasty) + 率 shuài (rate; rashly). Done quickly and without care, like grass thrown up overnight. 做事草率 "to do things carelessly."	nature daily-life characters
草帽	cǎomào	straw hat	草 cǎo (straw) + 帽 mào (hat). A hat woven from dried straw, the broad-brimmed shade of farmers and summer beaches. 戴草帽 "to wear a straw hat."	nature daily-life characters
草书	cǎoshū	cursive script — the most expressive and wild form	草 cǎo (grass; rough; draft) + 书 shū. "Grass writing" , like wild grass, cursive is fast, flowing, and irregular. Individual strokes merge; some characters are radically abbreviated. Legible mainly to trained readers. The style most associated with artistic expression and emotional intensity.	calligraphy arts writing classical history aesthetics culture nature daily-life characters philosophy
草药	cǎoyào	herbal medicine; medicinal herbs	草 cǎo (herb) + 药 yào (medicine). Medicine made from plants, the leaves and roots brewed in traditional Chinese pharmacy. Often expanded to 中草药 zhōng cǎoyào, Chinese herbal medicine.	nature daily-life characters
草原	cǎoyuán	grassland; steppe; prairie	草 cǎo (grass) + 原 yuán (plain). A vast open plain of grass, the wind-rippled steppe of Inner Mongolia or the prairies of the world. 内蒙古大草原 "the great grasslands of Inner Mongolia."	nature daily-life characters
恻隐之心	cèyǐn zhī xīn	the heart of compassion / commiseration — sprout of 仁 humaneness	恻隐 cèyǐn: the feeling of alarm and pity , specifically the involuntary distress one feels at another's suffering. The child-at-the-well example demonstrates this sprout. It is the first beginning of 仁 rén (humaneness/benevolence), the master virtue.	mencius human-nature virtue
测量	cèliáng	to measure: to survey, to gauge with an instrument	测 cè (to gauge, to fathom) + 量 liáng (to measure). The formal verb for taking precise measurements: surveying land, gauging distance, recording temperature or pressure with an instrument. 测量土地 (to survey land), 测量距离 (to measure distance).	measure-words evaluation meaning characters
曾国藩	Zēng Guófān	Zeng Guofan, scholar-general		history qing rebellion religion
曾经	céngjīng	once, formerly		aspect particle grammar tense
叉烧	chāshāo	Char Siu — Cantonese BBQ Pork		food culture geography history trade
插一脚	chā yī jiǎo	to butt in; to insert oneself into someone else's affair	插 chā (to insert) + 一 yī (one) + 脚. To stick a foot in where it wasn't invited , usually meddlesome but sometimes opportunistic. Cousin of English "to put one's foot in." Often pejorative.	body movement space
插茱萸	chā zhūyú	wearing zhuyu sprigs — apotropaic plant, festival shorthand	插 chā (to insert; to wear tucked in) + 茱萸 zhūyú (Cornus officinalis; Japanese cornelian cherry). The zhuyu shrub, with its fragrant berries and pungent scent, was believed to repel evil and disease. On Double Ninth, people wore sprigs tucked into their hair or carried them in small pouches.	festival culture daily-life history confucianism nature ancestors family poetry
茶餐厅	chá cāntīng	Cha chaan teng	Cha chaan teng: the quintessential Hong Kong casual restaurant, serving a fusion menu of Cantonese and Western-influenced dishes: milk tea, pineapple buns (菠萝包 bōluóbāo), egg tarts, congee, rice dishes, and Hong Kong-style French toast.	geography history culture economy identity south coast trade
茶禅一味	chá chán yī wèi	tea and Chan: one flavor		chan zen meditation
茶馆	cháguǎn	Teahouse	Teahouse: a social institution especially important in Sichuan and Guangdong, where one goes not just to drink tea but to play mahjong, listen to storytelling, or simply spend a morning reading the paper.	food society daily-life characters tea culture drink
茶毫	cháháo	tea down — fine white hairs on young leaves		tea green-tea culinary brewing culture
茶荷	cháhé	tea display dish — for showing the dry leaf		tea teaware ceremony culture vocabulary
茶壶	cháhú	Teapot	Teapot. The Yixing purple clay teapot (紫砂壶) is the prestige form, prized because it absorbs tea oils over time and improves with use.	tea culture drink
茶黄素	cháhuángsù	theaflavins — the brightness compounds of black tea		tea black-tea culinary history trade
茶夹	chájiā	tea tongs — for handling hot cups		tea teaware ceremony culture vocabulary
茶马古道	Chá Mǎ Gǔ Dào	Ancient Tea-Horse Road — the trade route that carried tea to Tibet		tea culture history philosophy daily-life
茶盘	chápán	tea tray — the base of the gongfu setup		tea ceremony brewing culture daily-life
茶香	cháxiāng	aroma of tea		perception food daily-life characters
茶叶	cháyè	Tea leaves , the dry product before brewing	Tea leaves , the dry product before brewing. 茶 alone can refer to the beverage, the plant, or the leaves.	tea culture drink
茶叶蛋	cháyè dàn	tea egg		food nature daily-life characters
茶叶罐	cháyè guàn	tea canister / storage jar		tea teaware ceremony culture vocabulary
茶艺	cháyì	tea art; the art and ceremony of tea	茶 chá + 艺 yì (art; skill, the same character as in 艺术 fine art). The performance and aesthetic dimension of tea preparation. 茶艺师 cháyìshī = tea master; a professional practitioner of the ceremony. 茶艺表演 = a tea ceremony performance.	tea culture ritual philosophy
茶针	chá zhēn	tea needle / pu-erh pick		tea teaware ceremony culture vocabulary
差不多	chàbuduō	almost; about the same		measure-words time food characters grammar comparison daily-life
差错	chācuò	a slip, an error; a mishap going wrong	差 chā (off, deviating) + 错 cuò (error). A small slip or accidental error, and by extension an unforeseen mishap: 万一出了差错 "in case something goes wrong." Both halves mean "off the mark," doubling the sense of deviation.	meaning daily-life communication characters
拆开	chāikāi	to tear open; to unwrap		communication society writing characters
禅让	shànràng	to abdicate in favor of the worthy	The shàn reading's flagship: throne-yielding on the Yao-and-Shun model, the Confucian ideal of succession by virtue rather than blood, and the polite fiction wrapping most actual dynastic seizures.	buddhism chan religion
禅宗	Chán Zōng	Chan Buddhism — meditation, direct transmission, sudden enlightenment	The most distinctively Chinese Buddhist school. Chan (from Sanskrit dhyāna, meditation) rejected scripture-based study in favor of direct mind-to-mind transmission between master and student, the use of paradoxical dialogues (公案 gōng'àn, kōans), and the possibility of sudden enlightenment 顿悟 dùnwù i…	buddhism chan religion transmission history pure-land amitabha faith
产品认证	chǎnpǐn rènzhèng	product certification	认证 rènzhèng (to certify, certification , 认 recognize + 证 proof/certificate). The system by which products are officially verified to meet standards. 3C认证 (China Compulsory Certification) is the mandatory certification for electronics, appliances, and vehicles sold in China.	commerce economy production
产品质量	chǎnpǐn zhìliàng	product quality	质量 zhìliàng (substance + quantity → quality) is the standard word for quality in both the everyday and technical sense. 产品质量 is the fixed phrase for product quality , appearing in consumer protection law (产品质量法), manufacturing standards, and marketing.	commerce economy production
产生	chǎnshēng	to produce; to give rise to; to emerge	产 chǎn (to produce; output) + 生 shēng (arise). For abstract and concrete creation , ideas, problems, emotions, consequences arising. 产生影响 "to have an effect" · 产生误会 "to give rise to a misunderstanding."	life radical biology
常常	chángcháng	often; frequently; time and again	The reduplicated 常. A common, conversational adverb for frequent action. Its negative is usually 不常 bùcháng "not often," since 不常常 is avoided.	timing daily-life meaning characters
常识	chángshí	common sense; general knowledge	常 cháng (constant; common) + 识 shí (knowledge). The basic knowledge that holds across a community, what one is expected to know: 生活常识 "everyday know-how," 缺乏常识 "to lack common sense."	timing daily-life meaning characters
嫦娥	Cháng'é	Chang'e — the Moon Goddess		festival culture family history
场	chǎng	open ground, venue		food society daily-life characters
场所	chǎngsuǒ	place; venue; site		grammar classical syntax passive literary particles confucianism analects
唱反调	chàng fǎndiào	to deliberately disagree; to sing a different tune	唱 chàng (to sing) + 反调 fǎndiào (an opposing tune). To voice the contrary position on purpose, to be the one who always sings against the prevailing note. Colloquial and faintly critical.	communication culture characters
唱歌	chànggē	to sing	唱 (sing) + 歌 (song). The social institution attached is KTV (卡拉OK), where 唱歌 is what colleagues, classmates, and business contacts do together; declining every song is borderline antisocial, and one rehearsed number is sound survival strategy.	communication culture characters music arts vocabulary confucianism
唱片	chàngpiàn	record; disc (vinyl, album)	唱 chàng (to sing) + 片 piàn (a thin flat piece). A singing-disc: the physical record that holds recorded sound. 唱片公司 chàngpiàn gōngsī is a record label. The word predates and survives digital formats.	communication culture characters
唱腔	chàngqiāng	Vocal style , the melodic and tonal patterns of a particular role type. Different roles use different vocal registers and melodic conventions.	Vocal style , the melodic and tonal patterns of a particular role type. Different roles use different vocal registers and melodic conventions.	opera theatre performance
钞票	chāopiào	banknote: paper money; cash	钞 chāo (paper money) + 票 piào (slip; note). A banknote, paper currency, cash in hand. This compound shows 票 at its purest: a printed slip of paper that stands for money. Closely related is 支票 zhīpiào (a cheque), where 支 zhī (to pay out) marks the slip as an instrument of payment.	meaning society daily-life characters
超度	chāodù	to deliver souls (Buddhist ritual)		ancestors ritual family
超越	chāoyuè	to surpass; to exceed; to transcend	超 (chāo, to overtake; to exceed) + 越. The figurative summit of the family: surpassing a competitor, exceeding a limit, transcending a category. Used in business, sport, philosophy, and self-development contexts.	movement comparison border modern
朝代	cháodài	dynasty: a reigning house and its era	朝 cháo (court, reign) + 代 dài (generation, age). The standard word for a dynasty, the span during which one ruling house held the throne. Chinese history is told as a sequence of 朝代, each with its own name, capital, and character.	dynasty history direction characters generation society calendar time vocabulary emperor imperial statecraft royalty politics geography culture writing literature classical learning era daily-life
朝气	zhāoqì	youthful spirit: vigor, the lively air of a new day	朝 zhāo (morning) + 气 qì (air, energy). The energy of morning seen in people, a fresh, lively spirit. Said of the young or of any group full of drive: 充满朝气 "brimming with vigor." Its opposite is 暮气 mùqì, the listlessness of dusk.	dynasty history direction characters
朝前	cháoqián	forward; toward the front; facing ahead	朝 cháo (toward) + 前 qián (front). Directed at the space ahead: 朝前走 "walk forward," 朝前看 "look ahead." A close everyday counterpart to 向前.	dynasty history direction characters
朝圣	cháoshèng	pilgrimage		mazu goddess coast
朝廷	cháotíng	the imperial court: the ruler and the central government	朝 cháo (court) + 廷 tíng (court hall). The ruler together with the ministers and offices around the throne, the seat of central power. To act 代表朝廷 is to act in the name of the throne itself.	dynasty history direction characters
朝夕	zhāoxī	morning and evening: every hour, day after day	朝 zhāo (morning) + 夕 xī (evening). The two ends of the day standing for all of it: from dawn to dusk, every hour. 朝夕相处 "to be together morning and evening," to live in close daily company; 只争朝夕 "to seize every moment."	dynasty history direction characters
朝向	cháoxiàng	to face toward; the aspect or facing of (a building)	朝 cháo (to face) + 向 xiàng (toward). To face a given way, or the facing itself. Common in describing buildings: 这套房子朝向南 "this flat faces south," a prized aspect for sunlight in Chinese homes.	space motion meaning characters cosmology geomancy
朝阳	zhāoyáng	the morning sun: the rising sun, dawn light	朝 zhāo (morning) + 阳 yáng (sun). The sun as it rises, and the fresh light it brings. Used figuratively for anything new and full of promise: 朝阳产业 "a sunrise industry," a sector on the rise.	dynasty history direction characters cosmology yin-yang nature
朝着	cháozhe	toward; in the direction of (with sustained motion)	朝 cháo (toward) + 着 zhe (the durative marker). The preposition with a sense of ongoing facing or movement toward something: 朝着大海 "facing the sea," 朝着目标努力 "to work toward a goal." Common in figurative aims as well as physical ones.	dynasty history direction characters
嘲笑	cháoxiào	to mock; to ridicule; to jeer at	嘲 cháo (to taunt; to deride) + 笑 xiào (laugh). To laugh at someone with scorn. This is the cruel edge of 笑: the same sound aimed downward at a target. Takes a direct object, the person mocked.	emotion communication characters
炒	chǎo	to stir-fry; the wok toss		food culture geography history
炒蛋	chǎodàn	scrambled eggs	炒 (chǎo, to stir-fry) + 蛋: eggs broken into a hot wok and pushed around until they set in soft curds. The same 炒 powers most Chinese cooking, so 炒蛋 reads as plainly as English "scrambled eggs."	food nature daily-life characters
车	chē	vehicle; car; train		meaning society daily-life characters
车票	chēpiào	travel ticket: a ticket for a bus, train, or coach	车 chē (vehicle; car; train) + 票 piào (slip; ticket). A ticket for ground transport: a bus ticket, a train ticket, a coach ticket. The slip that proves you have paid your fare and may board. By the same pattern, 机票 jīpiào is a plane ticket and 船票 chuánpiào is a boat ticket.	meaning society daily-life characters
车同轨	chē tóng guǐ	carts made to the same track	Qin standardized the gauge of cart axles so that all wheeled vehicles fit the same ruts. The empire-wide road system, including the 直道 (zhídào, "straight roads") radiating from the capital Xianyang, depended on this.	history dynasty qin unification legalism first-emperor statecraft
车站	chēzhàn	station; bus or train stop	车 (chē, vehicle) + 站 (stop): the place where buses or trains halt and passengers board. The base word for any ground-transit station; specify with 火车站 huǒchēzhàn (train station) or 汽车站 qìchēzhàn (bus station).	motion body daily-life characters
沉	chén	heavy; sunken		meaning evaluation quality characters
陈旧	chénjiù	outdated; obsolete; outmoded	陈 (chén, to lay out; stale, old , grain stored too long; also the Chen state of the Spring and Autumn period) + 旧 (old). Old in the sense of having overstayed its usefulness: 陈旧的观念 (outdated concepts), 陈旧的设备 (obsolete equipment).	history change classical daily-life
趁	chèn	taking advantage of; while		grammar aspect syntax
称	chēng	To weigh	To weigh. 称一下 ("weigh it, please") hands the fruit to the vendor. The same character read chèn means "to fit," as in 称心如意, suiting one's heart's wishes.	confucianism language social names scale daily-life trade history numbers
称呼	chēnghū	form of address		confucianism language social names grammar courtesy
称谓	chēngwèi	Form of address, title, mode of address , the technical term for the entire system of address terms. 亲属称谓 (qīnshǔ chēngwèi) refers specifically to kinship terms. Understanding 称谓 is considered a basic social competency.	Form of address, title, mode of address , the technical term for the entire system of address terms. 亲属称谓 (qīnshǔ chēngwèi) refers specifically to kinship terms. Understanding 称谓 is considered a basic social competency.	social culture etiquette daily-life family names
撑	chēng	stuffed, overfull		food body daily-life characters
成本	chéngběn	cost (of production)		society social daily-life characters
成都	Chéngdū	Chengdu city		geography culture food culinary history nature
成功	chénggōng	success: to succeed	成 chéng (to accomplish; to become) + 功 gōng (achievement). Literally "to complete the achievement." Both verb (to succeed) and noun (success). One of the most common words in modern Chinese, the natural opposite of 失败 shībai (failure). 成功人士 = a successful person. 取得成功 = to attain success.	meaning evaluation change characters mastery ability culture history time martial-arts
成绩	chéngjì	grades; results; achievement (in study or work)	成 chéng (accomplished; finished) + 绩 jì (achievement; spun work). The measured outcome of effort, most often school marks: 考试成绩 "exam results," 成绩单 "a report card." The finished score that shows how the work turned out.	meaning evaluation change characters
成家	chéng jiā	to start a family; to marry and establish a household	成 chéng (to become; to accomplish; to complete) + 家 jiā. The moment a household comes into being, through marriage and setting up a home together. One of the defining life-stage transitions in Chinese culture, paired with 立业 (establish a career) in the famous set phrase 成家立业.	family society home
成就	chéngjiù	achievement; accomplishment	成 chéng (accomplished) + 就 jiù (to attain). The lasting result of effort, the achievement one can point to: 巨大的成就 "a great achievement," 学术成就 "academic accomplishments." Weightier and more public than a single completed task.	meaning evaluation change characters mastery ability
成熟	chéngshú	mature; ripe; well-developed	成 chéng (fully formed) + 熟 shú (ripe; cooked). Ripe in the literal sense for fruit and crops, and mature in the figurative sense for people, plans, and technologies: 成熟的苹果 "a ripe apple," 想法还不成熟 "the idea is not yet fully developed."	meaning evaluation change characters
成为	chéngwéi	to become	成 chéng (to accomplish; to become; to complete) + 为 wéi (to be; to serve as). The standard verb for transformation into a new state or role. Followed directly by a noun: 成为医生 (to become a doctor), 成为朋友 (to become friends), 成为问题 (to become a problem).	meaning evaluation change characters grammar classical taoism philosophy daoism wuwei syntax
成语	chéngyǔ	chengyu — four-character set phrases	成 chéng (to become; set; established) + 语 yǔ (speech; phrase). Set phrases , the four-character classical idioms that are one of the most distinctive features of Chinese. 成语 are compressed narratives, mostly four characters, encoding a story from history or classical literature.	meaning evaluation change characters grammar culture
成长	chéngzhǎng	to grow up; to mature; personal development	成 chéng (to become; to complete) + 长 zhǎng (to grow). The compound for the full arc of development: physical, psychological, and social maturation. 成长故事 = coming-of-age story. 成长经历 = formative experiences. Also used for adult development: 这段经历让我很成长 "this experience helped me grow a lot."	grammar culture family life radical biology
承担	chéngdān	to bear; take responsibility		knowing mind ethics
承认	chéngrèn	to admit, to acknowledge, to recognize formally	承 chéng (to bear; to receive; to assume) + 认 rèn. To shoulder the recognition of something , a fact, a fault, a state's legitimacy. Spans personal admission ("I admit I was wrong") and formal recognition (one country recognizing another diplomatically).	knowing mind ethics
诚	chéng	sincerity; genuine		confucianism ethics virtue philosophy communication knowing daoism
诚实	chéngshí	honest		meaning evaluation quality characters
诚信	chéngxìn	integrity; honesty and trustworthiness; good faith	诚 chéng (sincerity; genuine; true to one's heart , 诚 is itself 言 + 成 chéng, words that have been completed, words that have come to pass; sincerity as the alignment of word with reality) + 信 xìn (trustworthiness).	confucianism ethics virtue philosophy communication
城堡	chéngbǎo	castle; fortress	城 chéng (wall; fortified place) + 堡 bǎo (fort; stronghold). A castle or fortress, the walled stronghold of a lord. 城堡 is the standard translation for the European castle, and the word most readers meet first in fairy tales and fantasy.	fortification settlement geography characters
城隍	Chénghuáng	the City God — divine magistrate of the underworld	城隍 (lit. "city wall and moat") is the divine magistrate of a city or county, presiding over both the living city and its deceased residents in the underworld. He holds court in his temple (城隍庙 Chénghuáng miào), trying the souls of the recently dead to assign their afterlife fate.	daoism religion immortality folk-religion gods popular
城隍庙	Chénghuángmiào	City God Temple		folk-religion religion gods culture history ritual ancestors
城门	chéngmén	city gate	城 chéng (city; wall) + 门 mén (gate; door). The controlled opening in the wall, the single point where the inside and outside of a city legally met. City gates were closed at night, manned by guards, and named individually; a walled capital might have a dozen, each a landmark in its own right.	fortification settlement geography characters
城墙	chéngqiáng	city wall; rampart	城 chéng (city; wall) + 墙 qiáng (wall). The original sense of 城 made explicit. Where 城 alone once meant the wall, modern Mandarin pairs it with 墙 to specify the physical structure as opposed to the city it encloses.	fortification settlement geography characters
城区	chéngqū	urban district		fortification settlement geography characters
城市	chéngshì	city	城 chéng (walled settlement) + 市 shì (market). The most ordinary modern word for "city," and a fossil of how cities formed: a wall (城) for defense, a market (市) for exchange. The two together make the thing.	fortification settlement geography characters nature society daily-life
城镇	chéngzhèn	towns and cities; urban areas	城 chéng (city) + 镇 zhèn (town). A collective term spanning the whole range of urban settlement, from large cities down to market towns, used especially in contrast to the countryside (农村 nóngcūn).	fortification settlement geography characters
程度	chéngdù	degree, extent		grammar daily-life language
程度补语	chéngdù bǔyǔ	degree complement		particle complement adverb
吃饱	chī bǎo	to eat one's fill	吃 (chī, eat) + 饱 (full) as a resultative pair: to eat until satisfied. The negative is 没吃饱 (méi chī bǎo, did not eat enough), and a question often takes 吃饱了吗 (chī bǎo le ma).	food body daily-life characters
吃醋	chī cù	to be jealous (in love); to eat vinegar	吃 chī + 醋 cù (vinegar). Eating vinegar: romantic jealousy. The origin story: a Tang dynasty concubine had to drink vinegar as punishment when she defied orders, giving rise to this vivid metaphor. Exclusively romantic jealousy (not professional envy, which is 嫉妒 jídù).	food daily-life culture
吃饭	chī fàn	To eat a meal , literally "eat cooked grain	To eat a meal , literally "eat cooked grain." Used as a general term for eating any meal regardless of whether rice is served. 吃 means "to eat"; 饭 means cooked grain or, by extension, any meal.	daily-life food culture social culinary etiquette colloquial
吃苦	chī kǔ	to endure hardship; to eat bitterness	吃 chī (eat) + 苦 kǔ (bitter; hardship). To eat bitterness , to endure difficulty without complaint. One of the most culturally loaded compounds in Chinese. 能吃苦 (able to endure hardship) is a major virtue. 吃苦耐劳 = endure hardship and labor without complaint.	food daily-life culture emotion characters
吃亏	chī kuī	to suffer a loss; to be at a disadvantage; to get the short end	吃 chī + 亏 kuī (deficit; shortfall). To eat a shortfall , to come out worse, to be cheated or disadvantaged. 吃亏是福 chī kuī shì fú (suffering loss is a blessing) is a common proverb: the Daoist wisdom that accepting disadvantage builds character.	food daily-life culture
吃了	chī le	ate; has eaten (the action is complete)	The most basic post-verb 了 construction. The 了 immediately follows the verb and signals that the action was completed. With a bare monosyllabic object, the 了 sits between verb and object. With a quantified object, this placement is even clearer and more natural.	aspect particle tense
吃了吗	chī le ma	have you eaten		daily-life food culture social culinary etiquette colloquial
吃人	chī rén	Eating people, man-eating , Lu Xun term for the cannibalistic logic he claimed to find underlying Confucian social morality.	Eating people, man-eating , Lu Xun term for the cannibalistic logic he claimed to find underlying Confucian social morality.	literature history culture writing classical
吃完饭就睡	chī wán fàn jiù shuì	sleeps right after eating (immediately, habitual)	就 in habitual statements describes characteristic immediate sequences , what this person always does right after something else. Often used with mild commentary (it might be a bad habit, or an endearing one). The 就 here encodes: no delay at all between finishing dinner and falling asleep.	adverb timing emphasis
吃香	chīxiāng	to be popular, sought-after		perception food daily-life characters
池	chí	pond		nature settlement characters
迟缓	chíhuǎn	sluggish, tardy		emotion daily-life adjectives
持有	chíyǒu	to hold (a position, certificate)		grammar existence possession
赤	chì	deep crimson; bare		color culture symbolism
赤壁之战	Chìbì zhī Zhàn	the Battle of Red Cliffs		history han biography warlord poet poetry statecraft strategy
赤脚	chìjiǎo	barefoot	赤 chì (red; bare; naked) + 脚. Bare-footed. Famously the term in 赤脚医生 chìjiǎo yīshēng, the "barefoot doctors" of the Mao-era rural healthcare program , village paramedics with minimal training who made primary care available across the countryside.	body movement space
充电	chōngdiàn	to charge (device)		culture daily
充分	chōngfèn	ample; full; sufficient	充 chōng (to fill) + 分 fèn (measure; share). Filled to the proper measure, fully sufficient: 充分的准备 "ample preparation," 充分利用 "to make full use of." Note the fèn reading.	time meaning measure-words characters
充实	chōngshí	substantial; enriched; full (of a life or content)	充 chōng (to fill) + 实 shí (full; substantial). Filled to fullness, with nothing hollow: 生活很充实 "a full, rewarding life." As a verb it means to enrich or strengthen: 充实内容 "to flesh out the content."	meaning evaluation quality characters
充足	chōngzú	ample; abundant; fully sufficient	充 (chōng, to fill; to be full) + 足 (sufficient). Filled to sufficiency , not merely enough but abundantly enough. 阳光充足 (ample sunlight); 准备充足 (fully prepared); 充足的理由 (compelling reasons). Stronger than 足够 zúgòu (merely enough).	food body daily-life characters motion radical
重庆小面	Chóngqìng xiǎomiàn	Chongqing Spicy Noodles		food culture history daily-life
崇祯帝	Chóngzhēn Dì	last Ming emperor		ming great-wall zhenghe
宠物	chǒngwù	pet		nature daily-life characters things science
绸	chóu	silk fabric		history geography silk trade
丑	chǒu	the clown role	Recognizable by the small patch of white makeup 白粉块 báifěn kuài around the nose -- a marking that immediately signals comic status. The 丑 line includes male 男丑 and female 女丑 (also called 彩旦 cǎidàn, a comic older woman type).	opera theatre performance culture arts music aesthetics philosophy
臭	chòu	smelly, stinking		perception food daily-life characters
臭豆腐	chòu dòufu	Stinky Tofu; Fermented Tofu		food culture history buddhism daily-life
出版	chūbǎn	to publish; to put out an edition	出 chū (emerge; emit) + 版 bǎn (board; printing plate; edition). To emit a printing plate , to send a text out into the world as a published work. The metaphor is the woodblock or copper plate of traditional printing, the fixed form from which copies emerge.	motion direction daily-life
出版社	chūbǎnshè	publishing house		society social ritual characters
出产	chūchǎn	to produce; to yield; output	出 chū (emerge; put out) + 产 chǎn (produce; give birth to; output). To yield products from a source , a region produces goods, a field yields a crop, a factory puts out units. Used for natural resources, agricultural yield, and manufactured goods. As a noun: the output, the produce.	motion direction daily-life
出错	chūcuò	to go wrong; to make an error	出 chū (to come out) + 错 cuò (error). For an error to surface, often in a process or system: 系统出错了 "the system threw an error," 计算出错 "a miscalculation came up." Common in technical and procedural contexts.	meaning daily-life communication characters
出发	chūfā	to set out; to depart; to start from (a position or principle)	出 chū (exit; emerge from) + 发 fā (to send out; to dispatch; to start moving). The moment of departure , leaving a point of origin for a destination. Physical: a train, a traveler, a team setting out.	motion direction daily-life
出家	chūjiā	to leave home; enter monastic life		buddhism transmission history
出口	chūkǒu	to export; an exit; to speak	出 chū (exit; emerge) + 口 kǒu (mouth; opening; port). Three interlocking meanings from the same compound. As trade: to export , goods going out through the port. As architecture: the exit of a building or tunnel. As speech: 出口成章 (words emerge perfectly formed , to speak with eloquence).	motion direction daily-life meaning characters body culture economy production politics industry
出来	chūlái	to come out (toward speaker)		motion direction daily-life complement directional aspect
出路	chūlù	a way out; prospects, future direction	出 chū (to go out, to exit) + 路 lù (road). Literally "the road out." Used for both physical exit (the way out of a building) and, more often, figurative prospects: career options, an escape from a bad situation, the future of an industry. 没有出路 méiyǒu chūlù = no way forward, no prospects.	path directions movement
出门	chūmén	to go out; to leave home; to set off on a trip	出 chū (to exit) + 门 mén (door). To step out the door, whether for the day or for a journey: 我出门了 "I'm heading out." Its opposite is 回家 huí jiā or 进门 jìnmén.	dwelling meaning measure-words characters
出名	chūmíng	to become famous; to make a name for oneself	出 chū (emerge) + 名 míng (name; fame; reputation). To emerge into collective naming , to become the person or thing that others talk about and recognize by name. The 出 marks the transition: previously unknown, now known. 出名 carries no inherent judgment of whether the fame is deserved or welcome.	motion direction daily-life confucianism language social names
出去	chūqù	to go out; to head outside	出 chū (to exit; to emerge) + 去 qù (away from here). To exit and move away from the speaker's reference point. Contrast: 出来 chūlái (to come out , exiting toward where the speaker is). 出去 is used by someone inside sending someone outside, or by someone outside talking about leaving an enclosed space.	motion direction daily-life grammar syntax object disposal
出色	chūsè	outstanding; excellent; remarkable	出 chū (emerge; stand out) + 色 sè (color; appearance; quality). "Emerging in color" , a vivid presence that distinguishes itself against its background. The color metaphor is apt: something outstanding has a quality that registers immediately, the way a saturated color stands out on a pale surface.	motion direction daily-life
出神	chūshén	to enter trance; to be rapt		shamanism manchu indigenous
出生	chūshēng	to be born; birth	出 chū (emerge) + 生 shēng (life; to be born; raw). Emergence into life: the original threshold crossing. 出生 is used for persons: 他在北京出生 (he was born in Beijing). The date is 出生日期 chūshēng rìqī (date of birth).	motion direction daily-life life radical biology
出问题	chū wèntí	a problem occurs; something goes wrong	Here 问题 is unambiguously "problem": 出 chū (to emerge, arise) + 问题 = "a problem crops up, something breaks down." Used for malfunctions, complications, and things going wrong. Contrast 解决问题 (solve a problem) and 发现问题 (spot a problem).	vocabulary communication daily-life evaluation
出现	chūxiàn	to appear; to emerge; to come into view	出 chū (emerge) + 现 xiàn (appear; manifest; current). To emerge into visibility , applicable to everything from a rainbow appearing after rain to a new problem appearing in a system. One of the most common verbs in news language and everyday description.	motion direction daily-life perception knowing time modern characters
出于礼貌	chūyú lǐmào	out of politeness; for the sake of courtesy	出于 chūyú (proceeding from; out of) + 礼貌. Names the motivation behind a polite-but-not-sincere act: doing something not because you want to but because not doing it would be rude. Useful for marking the gap between social form and personal preference.	courtesy etiquette social daily-life
