#fields:Hanzi	Pinyin	English	HSK	Radical	Notes	Tags
爱	ài	love, to love, to cherish	1	爫	Love in all its forms: romantic, familial, and the Confucian ethic of universal benevolence.	emotion romance confucianism
太	tài	too, extremely, highest, grand	1	大	The character 大 (big) with one extra dot, pushing big past its limit into too-much. From that excess grow the everyday too, the highest and grandest, the sun, and the supreme pole of Taiji.	intensifier meaning cosmology characters
题	tí	topic, question, problem, to inscribe	2	页	The head-radical character behind every exam question and discussion topic. From the leaf or head of a thing grows the question to solve, the theme to discuss, and the act of inscribing a poem.	education meaning communication characters
体	tǐ	body, substance, to experience	1	亻	The person beside the root: the body as a person's base. From the physical body grow substance and system, the whole as against the part, and the act of grasping a thing by living through it.	body health meaning characters
天	tiān	sky, heaven, day	1	大	Heaven as moral authority, weather, time, and the ground of 天命 the Mandate of Heaven.	cosmology heaven mandate
听	tīng	to listen, to hear, to obey	1	口	The simplified 听 = mouth + axe, but the traditional 聽 encodes whole-body Confucian listening: ear, eye, heart, and upright virtue arrayed together in a single glyph.	perception daily-life confucianism
通	tōng	to go through; to connect; general; fluent	2	辶	The walk-movement radical drives a path through every obstacle, giving 通 a single character that covers passage, communication, expertise, and the ordinary general state of things.	motion communication meaning characters
同	tóng	same, together, with	1	口	Voices joined under one cover: the character for sameness and shared ground. From it grow the words for being alike, doing things together, and the people who share your role, your class, your cause.	society connections meaning characters
头	tóu	head, top, end, chief, noun-suffix	2	大	The head, and from it the top of a hill, the end of a street, the start of a thing, the chief of a group, and the toneless tag on a hundred everyday nouns. The simplified 头 stands for traditional 頭.	body space meaning characters
图	tú	map, diagram, to plan, to seek	3	囗	A character for diagrams, maps, intentions, and plots: anything that represents the world at one remove, or seeks to reshape it.	visual planning cartography
土	tǔ	earth, soil, local, native	3	土	A mound of soil with a base: the earth phase of the Five Elements, and the root of hundreds of characters for land, construction, and cultural belonging.	cosmology culture history
外	wài	outside, outer, foreign, besides	1	夕	A diviner reading the shells at the wrong hour, off the normal schedule. From that image grows everything beyond the boundary: the outside, the outer surface, the foreign land, and the relatives on the mother's side.	space meaning family characters
完	wán	to finish; to be whole	2	宀	完 means both whole and finished, and the bridge between them is intact completeness; its most important job is as a result complement, the 完 that ends 吃完, 做完, and 看完.	grammar daily-life language
万	wàn	ten thousand; myriad; all	1	一	万 is the Chinese hyperbole unit. Where English reaches for millions, Chinese reaches for 万 to express the immeasurable, because the written number 10,000 originally meant scorpion.	cosmology scale language
王	wáng	king	3	王	Three horizontals joined by one vertical: the ruler who connects heaven, earth, and humanity. Also the most common Chinese surname, and a radical that is secretly 玉 (jade) in disguise.	radical royalty history philosophy
为	wéi	to do; to act; for; because of	2	丶	In oracle bone script, a hand leading an elephant (to guide an immense force through skillful agency), and the character at the center of the Daoist concept of non-action.	grammar classical taoism philosophy daoism wuwei syntax
文	wén	writing, culture, civil	2	文	A tattooed figure: writing as marks on the body, culture as the accumulated markings of civilization.	confucianism culture history literature
问	wèn	to ask, to inquire, to ask after	1	门	A mouth at the gate, asking. From that image grow the everyday verb to ask, the noun for a question or problem, the warm act of asking after someone, and the stern act of holding to account.	communication language society characters
我	wǒ	I, me, myself	1	戈	The character for 'I' began as a toothed bronze halberd: the assertive grip of a weapon became the grammatical mark of a self.	grammar humanity social
屋	wū	room, house, dwelling	[object Object]	尸	Room, dwelling, and the human need for shelter: the character at home.	space dwelling architecture
无	wú	nothing, without, non-being	4	无	A dancer with arms outstretched, holding nothing. The character behind every Chinese negation of having, every Daoist non-doing, and the philosophical pole that pairs with 有 to frame the whole cosmos.	daoism philosophy negation cosmology wuwei
五	wǔ	five; the organizing number of correlative cosmology	1	二	Five is the center plus the four directions, the number that completes the Chinese cosmos: five phases, five colors, five tones, five flavors, five viscera, all keyed to one master grid.	cosmology philosophy language
物	wù	thing, object, matter, being	2	牛	An ox under a phonetic, once the word for varicolored cattle, that broadened into the whole world of things: every object, all matter, the myriad creatures, and even a person as a figure.	things science nature characters
西	xī	west; western	1	西	A bird settling into its nest at sunset: the direction that gave Chinese the word for "things" when it paired with east.	directions nature cosmology buddhism
喜	xǐ	joy, to like, happy events	1	口	A festive drum sounding above an open mouth: the sound of joy and the smiling mouth that answers it. From this image grow the words for liking, delight, and every happy occasion, above all the wedding.	emotion culture family characters
系	xì	to connect, system, department	1	糸	A hand holding silk threads. From that image of holding strands together come the great connecting words of modern Chinese: the system, the relationship, the link, the university department, and the colloquial act of tying a knot.	connections society meaning characters
下	xià	below, down, to descend, to issue	1	一	The mirror image of 上: a notch below the line that governs everything from going downstairs to issuing imperial decrees.	direction grammar motion
现	xiàn	to appear, present, now	1	王	The luster of jade coming into view. From that glint of something becoming visible grows the whole vocabulary of appearing, of the present moment, and of what is ready and on hand.	time modern perception characters
相	xiāng	mutual, appearance, to examine, minister	2	目	An eye examining a tree. From that act of looking grow two readings: level-tone xiang, the mutual that binds two sides face to face, and falling-tone xiang, the appearance you look at, the looking itself, and the minister who looks over the realm.	perception society meaning characters
想	xiǎng	to think, to want, to miss	2	心	想 = 相 (mutual, facing) + 心 (heart): the heart turned toward something, carrying the full range from thought to desire to longing in a single gesture.	mind emotion philosophy
向	xiàng	direction, toward, to face, all along	2	口	A window opening in a wall, facing one way. From that image grows the whole field of orientation: the direction a thing points, the preposition toward a target, the inclination of a heart, and the sense of all along, up to now.	space motion meaning characters
小	xiǎo	small, little; humble	1	小	Three minimal strokes that became the Confucian axis of moral character: the 小人 (petty person) and the 君子 (exemplary person) are the two poles every learner of classical Chinese must know.	confucianism daily-life adjectives
写	xiě	to write; to describe	1	冖	写 simplified from 寫, which shows a magpie under a roof: the bird that mimics and transmits, giving its voice to the written mark.	writing language arts calligraphy
心	xīn	heart, mind	2	心	The radical at the root of all feeling, and the Chinese conception of thought itself.	radical emotion mind
新	xīn	new; fresh; recently; novel	2	斤	Chopping fresh wood with an axe: the character whose compounds span New Year greetings, fresh produce, marriage, and the great question of what counts as modern.	adjectives change modern
信	xìn	trust, faith, credibility	2	亻	A person standing by their word: one of the most visually transparent characters in the language, and the virtue that holds every contract, conversation, and relationship together.	confucianism ethics virtue philosophy communication
行	xíng	to walk, to act, a row, a trade	[object Object]	行	One of the great polyphonic characters: xíng "to walk; to act; conduct" and háng "row; profession; firm." A pictograph of a four-way crossroads, the place where walking and the world are organized.	movement motion ethics
学	xué	to study, to learn, learning	1	子	Hands guiding a child beneath a roof: the character for learning as both action and institution.	confucianism education culture philosophy
雪	xuě	snow, whiteness, and vengeance	2	雨	Rain over a sweeping hand: snow is the precipitation you can hold. The same character means dazzling white and, by a buried metaphor, to wipe clean an old grievance.	nature weather winter
言	yán	speech, word, language	4	言	The root of every word about words: the mouth open, the tongue moving, the speech rising.	radical language
眼	yǎn	eye, glance	2	目	The everyday word for eye, and by extension any small opening, any moment of looking, any judgment made through sight. The body-part counterpart to literary 目.	body perception measure-words
阳	yáng	sun, bright, the yang principle	2	阝	A sunlit mound: the simplified 阳 sets a hill beside the sun. From that bright south slope grow the sun itself, the active masculine half of the cosmos, and the place names that face the light.	cosmology yin-yang nature characters
样	yàng	shape, kind, manner, sample	1	木	A word once rooted in wood that grew into the language of appearance and kind: how a thing looks, what type it is, the sample held up as a model, and the everyday this-way and how of manner words.	meaning perception characters
要	yào	to want, must, essential	1	女	Want, need, must, and will: the grammar engine disguised as a single character.	grammar modal
也	yě	also; too; classical particle	1	乙	A pictograph that lost its original image entirely and became one of the most load-bearing particles in classical Chinese: the gavel at the end of every verdict.	grammar particle classical syntax adverb
业	yè	occupation, industry, undertaking, study	2	一	A notched rack for hanging bells and chimes, then the work hung upon it. From that frame grows the whole field of doing: the trade one practices, the industry one builds, the cause one devotes a life to, the coursework one masters, and in Buddhist thought the karma one accrues.	society commerce industry education
一	yī	one; unified; as soon as	1	一	The simplest mark a brush can make carries the heaviest philosophical weight in Chinese civilization: 道生一，一生二，the Dao generates One, and One generates everything.	cosmology philosophy taoism confucianism
以	yǐ	by means of; using; because; in order to	2	人	A classical Chinese preposition and conjunction so versatile that it anchors half the grammar of formal Chinese: the word that turns one thing into the means, standard, or cause of another.	grammar classical syntax conjunction particle literary
义	yì	righteousness, duty, justice	3	丶	The Confucian virtue of doing what is morally right, and the simplification that erased a sheep, a self, and the entire picture of what righteous form looks like.	confucianism ethics virtue philosophy
意	yì	meaning, intention, the wish of the mind	2	心	Sound over heart: 意 is what the heart means before it is spoken. From that image grows meaning and significance, intention and willingness, and the notions of attention, satisfaction, and the unexpected.	meaning mind emotion characters
阴	yīn	the shaded slope, the lunar, the covert	4	阝	The shadow half of the cosmos and the everyday word for an overcast day. From the dark side of a hill grew the lunar calendar, the hidden plot, and time itself as light and shade.	cosmology nature weather
音	yīn	sound, tone, news	2	音	A mouth with a sound marked inside it. From that image grow the words for sound and music, for the way a syllable is pronounced, and for tidings carried from afar.	phonology perception music characters
应	yīng	ought, should; (yìng) to respond, to answer, to handle	2	广	A high-frequency polyphone with two readings. As yīng it means ought to or should; as yìng it means to respond, to answer, to adapt, and to handle. The tone tells you whether the sense is obligation or response.	modal meaning ability characters
用	yòng	to use; function; expense	2	用	用 began as a pictograph of a bucket or bell (a vessel put to work) and became the character that Zhuangzi inverted in his doctrine of 无用之用: the use of uselessness.	daoism philosophy daily-life grammar
有	yǒu	to have, to exist	1	月	Possession, existence, and the have/be distinction that reshapes grammar.	grammar existence possession
右	yòu	right; to assist; to favor	2	口	A right hand raised to a mouth: the hand that feeds and speaks, whose authority in Chinese extended to favoring, protecting, and placing the highest things to the right of the seat.	direction space daily-life
于	yú	at, in, to, than (the classical preposition)	2	二	The workhorse preposition of formal Chinese. 于 marks where, when, toward whom, and against what a thing is measured, and it is bound into a long list of everyday disyllables like 由于, 终于, and 等于.	classical cohesion meaning characters
雨	yǔ	rain	2	雨	The oracle bone shows rain falling from the sky: one of the most transparent pictographs in the script, and the radical that organizes all Chinese weather.	nature radical cosmology
语	yǔ	language, speech, words	2	讠	Speech radical plus the phonetic 吾 (I, me): the character for language carries the self within it, encoding the idea that language is the medium through which the self speaks to the world.	grammar culture
玉	yù	jade, precious		玉	The material of kingship and moral cultivation: three jade discs on a cord, a glyph almost identical to king, the stone that Confucius said was virtue made visible.	nature culture virtue confucianism aesthetics royalty classical
远	yuǎn	far, distant, remote	2	辶	Long robes trailing as you walk away: distance encoded in motion, and the ambivalence of far-off places in Chinese thought.	direction geography nature classical analects confucianism
月	yuè	moon, month	1	月	A crescent moon in profile, and one of the most poetically charged characters in Chinese literature.	nature radical poetry time
越	yuè	to cross over, to surpass	2	走	The character of crossing-and-exceeding: a foot-radical verb that travels from "stride over a barrier" to "the more, the more" to a Chinese state name and a national poetic gesture.	movement comparison border
云	yún	cloud	4	二	The simplified 云 is older than the traditional 雲, a rare case where the modern form recovers the ancient one.	nature cosmology classical
再	zài	again, then, further	2	冂	The adverb that sequences and repeats: again, one more time, and the subtle art of "and then."	grammar time
在	zài	to be at, located, in progress	1	土	The character that locates: a seedling rooted in earth, expanded into location, preposition, and progressive aspect.	grammar space aspect
长	cháng	long; to grow; chief	1	长	A person with flowing long hair. One character, two readings: cháng (long) and zhǎng (to grow, elder), the richest dual-reading in Mandarin.	grammar culture family
真	zhēn	real, true, genuine	2	目	Truth not as accuracy but as authenticity: the unadorned thing itself, prized in Daoist self-cultivation and in everyday emphasis.	knowing daoism philosophy virtue
正	zhèng	upright, correct, exactly, in the midst of	1	止	A foot halting squarely on the target line. From that image grows everything straight and correct: the upright, the standard, the exact moment, and the ongoing right-now.	ethics aspect meaning characters
之	zhī	of, going, this: the classical connective	5	丿	The most-written character in classical Chinese: a possessive particle, pronoun, and verb fossilized into pure grammar.	classical grammar particle literary
知	zhī	to know; knowledge	2	矢	知 = arrow + mouth: knowledge as the swift, target-hitting utterance, and in Wang Yangming, the act of knowing is inseparable from the act of doing.	knowing philosophy confucianism education
智	zhì	wisdom, moral intelligence	4	日	The Confucian virtue of knowing what is right to do; separately, the Buddhist prajñā that sees through the nature of things altogether.	confucianism ethics virtue philosophy buddhism
中	zhōng	middle, China, to hit the mark	1	丨	An arrow piercing through the center of a target: the character that names China as the Middle Kingdom and encodes the Confucian virtue of equilibrium.	confucianism culture history philosophy
重	zhòng	heavy, important; again, to repeat	1	里	A figure bearing a heavy load. From that weight grows everything that carries gravity: the heavy, the important, the grave. Read again as chóng, the same load comes back, layered and repeated.	meaning evaluation quality characters
主	zhǔ	master, host, main, to advocate	2	丶	A lamp flame steady on its stand: the central light that grew into the master of a household, the main thing among many, the one who decides, and the Lord of a faith.	society royalty meaning characters
子	zǐ	child, seed, Master	1	子	A picture of a swaddled infant that grew into one of the busiest characters in the language: a child and a son, the honorific for a Master, the empty noun-suffix on a thousand words, and the seed of a thing.	family confucianism nouns characters
字	zì	character, written word	1	子	The character that names itself, and the whole system of 汉字.	writing language meta
自	zì	self, from, naturally	2	自	A picture of a nose, the thing an ancient speaker pointed at to mean me. From that gesture grows the self, the source a thing comes from, and the sense of a thing acting of its own accord.	identity freedom meaning characters
走	zǒu	to walk, to go, to leave	1	走	A figure in motion with feet below: the basic verb of movement that Chinese uses where English uses dozens of different words.	grammar culture
足	zú	foot; sufficient; enough	4	足	The foot that became the word for sufficiency, and the radical anchoring every character involving legs, running, and roads.	body motion radical
最	zuì	most; the superlative marker	2	曰	最 is the single word that pushes any adjective to its limit: the -est of English, the most of comparison, the marker that turns 好 into 最好 and 后 into 最后.	grammar daily-life language
左	zuǒ	left; unorthodox; to assist	2	工	A left hand holding a carpenter's square: the assisting hand at the ruler, and by extension the word for unorthodox, heterodox, and everything that deviates from the orthodox path.	direction space daily-life
作	zuò	to do, to make, to compose	1	亻	A person setting something in motion. From the act of beginning grows the whole vocabulary of doing, making, and composing: the job you work, the work you create, and the role you act out.	production writing meaning characters
做	zuò	to do, to make, to act as	1	亻	做 is the everyday verb for doing and making, a late character built to carry the work that 作 had grown too literary to do, and the two still split the labor between them.	daily-life grammar social
